name,price
Эмаль МЛ-12 (ГОСТ 9754-76),230.0
Краска МА-25 (ГОСТ 10503-71),135.0
Эмаль ЭП-140 1К (ГОСТ 24709-81),200.0
Эмаль ПФ-115 цветная ЭКОНОМ (ГОСТ 6465-76),105.0
Краска МА-15 сурик (ГОСТ 10503-71),135.0
Эмаль ПФ-133 (ГОСТ 926-82),165.0
Краска-эмаль АК-511 (для дорожной разметки) (ГОСТ Р 52575-2006),160.0
Эмаль КО-811 до +200°C (+400°С) (ГОСТ 23122-78),215.0
Эмаль КО-8101 серебристо-серая до +600°С (ТУ 6-10-959-75),360.0
Эмаль ЭП-51 (ГОСТ 9640-85),310.0
Краска МА-22 (ГОСТ 10503-71),135.0
Эмаль ХС-436 (ТУ 20.30.22-002-83706890-2008),310.0
Эмаль ЭП-1236 1К (ГОСТ 23143-83),225.0
Эмаль ХВ-124 (ГОСТ 10144-89),190.0
Эмаль КО-813 серебристо-серая до +500°С (ГОСТ 11066-74),290.0
Эмаль ХС-759 1К (ГОСТ 23494-79),250.0
